,ST_1,ST_2,ST_3,HT_1,HT_2,HT_3
AT4G22890,230,167,231,470,346,345
AT1G38440,0,0,0,0,0,0
AT1G06627,0,0,0,2,0,0
AT3G27910,0,0,0,0,0,0
AT1G06620,0,0,0,0,0,0
AT5G54067,0,0,2,0,0,0
AT2G34630,1116,993,1168,980,790,804
AT2G03270,162,110,161,156,95,135
AT2G25590,35,30,48,35,28,31
AT1G43171,0,2,0,0,0,0
AT5G25130,98,88,113,275,227,224
AT2G32280,0,0,0,0,0,0
AT2G06655,0,0,0,0,0,0
AT3G15020,237,171,217,314,239,268
AT5G61100,0,0,0,0,0,0
AT5G01650,145,129,140,191,141,190
AT5G05570,460,348,486,432,375,355
AT5G01655,0,0,0,0,0,0
AT5G02290,259,229,279,352,273,309
AT3G10210,280,255,341,485,377,361
AT5G06000,11,26,22,35,29,25
AT5G06005,0,0,0,0,0,0
AT3G09775,0,0,0,0,0,0
AT5G64620,53,37,56,48,50,44
AT1G75280,443,457,430,886,670,714
AT4G25040,0,0,0,0,0,0
AT2G25040,0,0,0,0,0,0
AT1G03010,0,0,0,0,0,0
AT1G19850,7,0,12,15,8,9
AT3G56710,0,3,0,0,0,2
AT1G30610,107,71,108,140,88,97
AT5G62660,0,2,0,0,0,0
AT1G14048,7,2,5,10,1,6
AT2G04825,0,0,2,0,0,0
AT1G37045,0,0,0,0,0,0
AT2G04820,26,28,30,38,43,44
AT1G37040,2,0,0,0,0,0
AT3G01516,0,2,2,0,0,0
AT3G01515,0,0,6,0,0,0
AT3G05870,77,67,62,138,91,105
AT3G01510,0,0,0,0,0,0
AT4G33890,237,209,248,354,255,279
AT2G01860,0,39,44,0,0,0
AT1G74880,0,0,0,0,0,3
AT3G27710,4,0,6,9,0,1
AT3G18420,224,217,227,500,454,406
AT1G06990,0,0,0,0,0,0
AT3G14770,0,0,0,0,0,0
AT1G06993,0,0,0,0,0,0
AT4G12460,364,284,258,259,272,283
AT1G06997,0,0,0,0,0,0
AT3G13740,549,499,599,708,570,579
AT1G75420,105,79,82,168,93,160
AT1G70410,77,71,99,92,91,81
AT5G53140,1126,1187,1223,1060,890,850
AT4G13730,326,278,369,451,324,302
ATMG01170,33,24,32,58,50,47
AT2G24310,4,4,0,4,4,2
AT5G61810,18,22,26,17,10,15
AT4G28440,406,390,457,601,397,463
AT4G30270,0,0,0,3,0,0
AT2G33620,84,69,90,89,86,90
AT2G38630,116,106,114,146,112,135
AT2G29590,368,413,436,433,378,354
AT5G11340,204,236,259,294,230,229
AT3G33225,0,0,1,0,0,0
AT5G15845,116,90,149,72,59,114
AT5G15843,0,0,0,0,0,0
AT5G15840,57,32,48,10,13,33
AT1G41840,0,0,2,0,0,0
AT1G36310,233,239,257,319,260,273
AT3G02090,2688,2588,2812,3505,3095,3156
AT3G02095,0,0,0,0,0,0
AT1G04203,0,0,0,0,0,0
AT1G74360,134,151,195,76,65,80
AT3G42945,0,0,0,0,0,0
AT3G42940,0,2,2,0,0,0
AT2G44360,190,224,221,170,121,137
AT4G31630,0,0,0,0,0,0
AT5G11690,46,48,46,71,39,41
AT3G44470,0,0,0,0,0,0
AT2G18440,6875,5994,7815,8059,6004,6062
AT4G20790,0,0,0,0,0,0
AT1G58430,0,0,0,0,0,0
AT4G36945,0,8,0,13,3,11
AT5G57240,42,29,44,36,30,13
AT4G36940,66,49,65,47,61,60
AT1G73140,15,0,21,12,12,24
AT4G23440,206,186,230,288,263,237
AT2G05050,0,0,0,0,0,0
AT3G07115,0,0,0,0,0,0
AT3G07110,663,628,609,1190,1009,1059
AT5G23955,0,0,0,0,0,0
AT1G72810,0,0,3,4,6,7
AT5G23950,0,0,5,5,2,3
AT2G11170,2,0,0,0,0,0
AT4G20860,11,20,8,8,9,12
AT2G41460,950,832,947,1083,947,938
AT1G63810,446,397,475,710,584,528
AT2G40590,321,280,337,526,382,411
AT1G68790,1801,1497,1643,2004,1562,1572
AT1G68795,2,9,13,5,7,3
AT1G28900,0,1,1,0,0,0
AT3G25210,164,130,136,202,148,134
AT2G39270,465,434,569,620,500,523
AT4G09755,0,0,1,0,0,0
AT4G09750,183,194,228,168,148,149
AT4G36360,1654,1365,1769,2554,2270,2218
AT3G18100,458,478,581,554,456,407
AT2G19710,170,160,207,173,111,145
AT2G37380,0,0,0,0,0,0
AT1G76240,2,0,0,0,0,0
AT5G10560,12,12,35,47,38,42
AT3G45700,0,0,0,0,0,0
AT3G08580,1423,1249,1346,2500,2043,2123
AT4G33700,3674,3052,3653,2592,1982,1789
AT3G08585,0,0,0,0,0,0
AT3G49510,0,8,2,9,2,4
AT2G35710,1,2,0,2,0,0
AT5G17690,522,422,566,697,512,572
AT5G63770,51,48,63,51,39,38
AT1G56270,0,0,0,0,0,0
AT5G39470,0,0,0,0,0,0
AT5G39473,0,0,0,0,0,0
AT1G67310,643,580,689,620,558,551
AT4G22790,0,0,0,0,0,0
AT1G32560,47193,47299,48160,46384,35111,37979
AT5G60770,0,0,0,0,0,0
AT1G35030,0,0,0,0,0,0
AT1G64660,1744,1614,1736,2237,1874,1855
AT1G35035,0,0,0,0,0,0
AT2G40330,3,2,5,3,2,2
AT2G47100,0,0,0,0,0,0
AT4G03180,361,351,358,575,446,455
AT2G08925,0,0,0,0,0,0
AT3G07805,0,0,0,0,0,0
AT2G08920,0,0,0,0,0,0
AT3G60238,3,5,7,0,0,0
AT4G02850,3,14,8,0,6,11
AT2G04015,0,0,0,0,0,0
AT2G04010,0,0,1,0,0,0
AT2G03040,0,0,0,0,0,0
AT3G09185,0,0,0,0,0,0
AT3G09180,385,357,408,440,398,380
AT1G69440,15,4,8,31,34,19
AT1G62490,0,0,0,0,0,0
AT1G78940,3,5,0,4,3,3
AT2G01755,0,0,0,0,0,0
AT3G21870,0,0,0,0,0,0
AT2G01750,140,105,204,182,151,105
AT3G05400,0,0,3,0,0,0
AT1G63360,37,20,24,31,32,27
AT4G08400,0,0,0,0,0,0
AT4G03450,0,0,0,0,0,0
AT4G08405,1,3,2,2,3,1
AT4G08406,0,0,0,0,0,0
AT4G10040,1138,985,1118,1174,938,987
AT5G17030,3,0,0,0,0,0
AT1G09393,0,0,2,0,0,0
AT1G71730,581,577,589,1077,834,881
AT5G53970,654,623,707,718,664,612
AT4G02580,327,348,369,565,448,458
AT1G49450,0,2,0,2,0,0
AT3G30220,0,0,0,0,0,0
AT5G55480,31,29,32,37,21,23
AT3G30222,2,0,0,0,0,0
AT5G32563,2,0,0,0,0,0
AT5G32566,1,0,0,0,0,2
